                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0013,                0.99282,                      1,                 2.3439,             0.00023791,             0.00023791,             0.00023791
                      2,                0.14754,                0.99859,                      1,                 2.3271,             0.00024033,             0.00024033,             0.00024033
